X Location|Y Location|Diameter
-17.1309|-0.7260|0.6096
-19.6709|-3.2660|0.6096
-19.6709|-0.7260|0.6096
-18.4009|-3.2660|0.6096
-17.1309|-5.8060|0.6096
-19.6709|-5.8060|0.6096
-18.4009|-5.8060|0.6096
-17.1309|-3.2660|0.6096
-23.4809|-5.8060|0.6096
-22.2109|-5.8060|0.6096
-22.2109|-0.7260|0.6096
-23.4809|-0.7260|0.6096
-23.4809|-3.2660|0.6096
-22.2109|-3.2660|0.6096
-20.0409|1.9590|0.6096
-20.0409|0.9430|0.6096
-20.0409|4.2450|0.6096
-20.0409|3.2290|0.6096
-21.9569|6.8940|0.6096
-23.2269|6.8940|0.6096
-17.6569|1.5780|0.6096
-17.6569|2.9750|0.6096
-17.6569|5.7690|0.6096
-17.6569|4.3720|0.6096
-21.9569|5.9140|0.6096
-23.2269|5.9140|0.6096
-18.6369|5.7690|0.6096
-18.6369|4.3720|0.6096
-18.6369|1.5780|0.6096
-18.6369|2.9750|0.6096
-21.8409|3.2290|0.6096
-21.8409|4.2450|0.6096
-23.4159|3.7370|0.6096
-21.8409|1.9590|0.6096
-21.8409|0.9430|0.6096
-23.4159|1.4510|0.6096
-23.2269|9.4340|0.6096
-21.9569|9.4340|0.6096
-23.2269|8.4540|0.6096
-21.9569|8.4540|0.6096
-15.0989|6.8940|0.6096
-15.2439|2.9750|0.6096
-15.2439|1.5780|0.6096
-16.3689|6.8940|0.6096
-15.2439|4.3720|0.6096
-15.0989|5.9140|0.6096
-16.3689|5.9140|0.6096
-16.2239|4.3720|0.6096
-16.2239|2.9750|0.6096
-16.2239|1.5780|0.6096
24.0730|6.8941|0.6096
25.3430|6.8941|0.6096
23.5830|3.4831|0.6096
23.5830|1.9591|0.6096
21.0430|1.9591|0.6096
24.0730|5.9141|0.6096
25.3430|5.9141|0.6096
24.5630|3.4831|0.6096
24.5630|1.9591|0.6096
22.0230|1.9591|0.6096
30.1690|-6.7859|0.6096
31.4390|-6.7859|0.6096
32.7090|-6.7859|0.6096
30.1690|-5.8059|0.6096
31.4390|-5.8059|0.6096
32.7090|-5.8059|0.6096
26.6130|6.8941|0.6096
27.8833|6.8944|0.6096
31.6933|6.8944|0.6096
29.1530|6.8941|0.6096
30.4230|6.8941|0.6096
26.6130|5.9141|0.6096
30.4230|5.9141|0.6096
29.1530|5.9141|0.6096
31.6933|5.9144|0.6096
27.8833|5.9144|0.6096
30.4230|9.4341|0.6096
31.6930|9.4341|0.6096
29.1533|9.4344|0.6096
27.8833|9.4344|0.6096
30.4230|8.4541|0.6096
